version,n,workers,depth,time,solutions
sequential,12,1,0,0.003316,14200
openmp_partial,12,2,3,0.001781,14200
openmp_tasks,12,2,3,0.001863,14200
openmp_partial,12,4,3,0.001104,14200
openmp_tasks,12,4,3,0.001320,14200
openmp_partial,12,8,3,0.000733,14200
openmp_tasks,12,8,3,0.000983,14200
openmp_partial,12,12,3,0.000951,14200
openmp_tasks,12,12,3,0.001293,14200
openmp_partial,12,16,3,0.000990,14200
openmp_tasks,12,16,3,0.001062,14200
openmp_partial,12,24,3,0.010667,14200
openmp_tasks,12,24,3,0.006512,14200
mpi_partial,12,2,3,0.001967,14200
mpi_partial,12,4,3,0.001041,14200
mpi_partial,12,8,3,0.000533,14200
mpi_partial,12,12,3,0.000364,14200
mpi_partial,12,16,3,0.000281,14200
mpi_partial,12,24,3,0.000216,14200
hybrid_partial,12,24,3,0.001930,14200
hybrid_partial,12,24,3,0.001268,14200
hybrid_partial,12,24,3,0.000700,14200
hybrid_partial,12,24,3,0.000811,14200
sequential,13,1,0,0.018038,73712
openmp_partial,13,2,3,0.009396,73712
openmp_tasks,13,2,3,0.010056,73712
openmp_partial,13,4,3,0.005170,73712
openmp_tasks,13,4,3,0.005260,73712
openmp_partial,13,8,3,0.003021,73712
openmp_tasks,13,8,3,0.003220,73712
openmp_partial,13,12,3,0.002218,73712
openmp_tasks,13,12,3,0.002563,73712
openmp_partial,13,16,3,0.002066,73712
openmp_tasks,13,16,3,0.002282,73712
openmp_partial,13,24,3,0.012067,73712
openmp_tasks,13,24,3,0.009421,73712
mpi_partial,13,2,3,0.009346,73712
mpi_partial,13,4,3,0.005244,73712
mpi_partial,13,8,3,0.002514,73712
mpi_partial,13,12,3,0.002044,73712
mpi_partial,13,16,3,0.001508,73712
mpi_partial,13,24,3,0.001054,73712
hybrid_partial,13,24,3,0.009613,73712
hybrid_partial,13,24,3,0.004941,73712
hybrid_partial,13,24,3,0.003999,73712
hybrid_partial,13,24,3,0.003042,73712
sequential,14,1,0,0.107126,365596
openmp_partial,14,2,3,0.055779,365596
openmp_tasks,14,2,3,0.054539,365596
openmp_partial,14,4,3,0.029258,365596
openmp_tasks,14,4,3,0.027977,365596
openmp_partial,14,8,3,0.015757,365596
openmp_tasks,14,8,3,0.015589,365596
openmp_partial,14,12,3,0.010856,365596
openmp_tasks,14,12,3,0.011113,365596
openmp_partial,14,16,3,0.008762,365596
openmp_tasks,14,16,3,0.009534,365596
openmp_partial,14,24,3,0.013630,365596
openmp_tasks,14,24,3,0.011787,365596
mpi_partial,14,2,3,0.055030,365596
mpi_partial,14,4,3,0.027758,365596
mpi_partial,14,8,3,0.017193,365596
mpi_partial,14,12,3,0.011579,365596
mpi_partial,14,16,3,0.008699,365596
mpi_partial,14,24,3,0.009418,365596
hybrid_partial,14,24,3,0.055546,365596
hybrid_partial,14,24,3,0.028834,365596
hybrid_partial,14,24,3,0.021498,365596
hybrid_partial,14,24,3,0.015247,365596
sequential,15,1,0,0.678271,2279184
openmp_partial,15,2,3,0.346026,2279184
openmp_tasks,15,2,3,0.344786,2279184
openmp_partial,15,4,3,0.175423,2279184
openmp_tasks,15,4,3,0.180322,2279184
openmp_partial,15,8,3,0.089538,2279184
openmp_tasks,15,8,3,0.093257,2279184
openmp_partial,15,12,3,0.063077,2279184
openmp_tasks,15,12,3,0.065262,2279184
openmp_partial,15,16,3,0.049886,2279184
openmp_tasks,15,16,3,0.053255,2279184
openmp_partial,15,24,3,0.041753,2279184
openmp_tasks,15,24,3,0.043118,2279184
mpi_partial,15,2,3,0.348714,2279184
mpi_partial,15,4,3,0.180568,2279184
mpi_partial,15,8,3,0.102408,2279184
mpi_partial,15,12,3,0.069964,2279184
mpi_partial,15,16,3,0.052794,2279184
mpi_partial,15,24,3,0.040141,2279184
hybrid_partial,15,24,3,0.347329,2279184
hybrid_partial,15,24,3,0.179706,2279184
hybrid_partial,15,24,3,0.118969,2279184
hybrid_partial,15,24,3,0.095948,2279184
sequential,16,1,0,4.591517,14772512
openmp_partial,16,2,3,2.329029,14772512
openmp_tasks,16,2,3,2.323029,14772512
openmp_partial,16,4,3,1.173540,14772512
openmp_tasks,16,4,3,1.217341,14772512
openmp_partial,16,8,3,0.596479,14772512
openmp_tasks,16,8,3,0.612248,14772512
openmp_partial,16,12,3,0.419557,14772512
openmp_tasks,16,12,3,0.433631,14772512
openmp_partial,16,16,3,0.327083,14772512
openmp_tasks,16,16,3,0.362306,14772512
openmp_partial,16,24,3,0.272091,14772512
openmp_tasks,16,24,3,0.274902,14772512
mpi_partial,16,2,3,2.357308,14772512
mpi_partial,16,4,3,1.198613,14772512
mpi_partial,16,8,3,0.634025,14772512
mpi_partial,16,12,3,0.460537,14772512
mpi_partial,16,16,3,0.348450,14772512
mpi_partial,16,24,3,0.264613,14772512
hybrid_partial,16,24,3,2.335247,14772512
hybrid_partial,16,24,3,1.178931,14772512
hybrid_partial,16,24,3,0.800112,14772512
hybrid_partial,16,24,3,0.613960,14772512
sequential,17,1,0,32.538066,95815104
openmp_partial,17,2,3,16.547554,95815104
openmp_tasks,17,2,3,16.525095,95815104
openmp_partial,17,4,3,8.337872,95815104
openmp_tasks,17,4,3,8.355872,95815104
openmp_partial,17,8,3,4.202704,95815104
openmp_tasks,17,8,3,4.240542,95815104
openmp_partial,17,12,3,2.954970,95815104
openmp_tasks,17,12,3,3.026220,95815104
openmp_partial,17,16,3,2.281405,95815104
openmp_tasks,17,16,3,2.368709,95815104
openmp_partial,17,24,3,1.780101,95815104
openmp_tasks,17,24,3,1.795489,95815104
mpi_partial,17,2,3,16.487579,95815104
mpi_partial,17,4,3,8.387850,95815104
mpi_partial,17,8,3,4.289633,95815104
mpi_partial,17,12,3,3.110275,95815104
mpi_partial,17,16,3,2.382555,95815104
mpi_partial,17,24,3,2.159553,95815104
hybrid_partial,17,24,3,16.604900,95815104
hybrid_partial,17,24,3,8.377032,95815104
hybrid_partial,17,24,3,5.618569,95815104
hybrid_partial,17,24,3,4.329475,95815104
sequential,18,1,0,242.360731,666090624
openmp_partial,18,2,3,122.121234,666090624
openmp_tasks,18,2,3,123.670807,666090624
openmp_partial,18,4,3,61.590019,666090624
openmp_tasks,18,4,3,63.656264,666090624
openmp_partial,18,8,3,31.265138,666090624
openmp_tasks,18,8,3,32.294363,666090624
openmp_partial,18,12,3,22.026679,666090624
openmp_tasks,18,12,3,22.536868,666090624
openmp_partial,18,16,3,17.052080,666090624
openmp_tasks,18,16,3,17.507366,666090624
openmp_partial,18,24,3,12.933386,666090624
openmp_tasks,18,24,3,13.288595,666090624
mpi_partial,18,2,3,122.382216,666090624
mpi_partial,18,4,3,61.400151,666090624
mpi_partial,18,8,3,31.365479,666090624
mpi_partial,18,12,3,22.767064,666090624
mpi_partial,18,16,3,17.382709,666090624
mpi_partial,18,24,3,14.326065,666090624
hybrid_partial,18,24,3,123.552752,666090624
hybrid_partial,18,24,3,62.459323,666090624
hybrid_partial,18,24,3,42.261990,666090624
hybrid_partial,18,24,3,31.518029,666090624
