version,n,workers,depth,time,solutions
sequential,12,1,0,0.003346,14200
openmp_partial,12,2,3,0.001856,14200
openmp_tasks,12,2,3,0.001951,14200
openmp_partial,12,4,3,0.001074,14200
openmp_tasks,12,4,3,0.001318,14200
openmp_partial,12,8,3,0.000690,14200
openmp_tasks,12,8,3,0.000927,14200
openmp_partial,12,12,3,0.000662,14200
openmp_tasks,12,12,3,0.000940,14200
openmp_partial,12,16,3,0.000639,14200
openmp_tasks,12,16,3,0.001171,14200
openmp_partial,12,24,3,0.010980,14200
openmp_tasks,12,24,3,0.005898,14200
mpi_partial,12,2,3,0.001685,14200
mpi_partial,12,4,3,0.000856,14200
mpi_partial,12,8,3,0.000540,14200
mpi_partial,12,12,3,0.000369,14200
mpi_partial,12,16,3,0.000282,14200
mpi_partial,12,24,3,0.000242,14200
hybrid_partial,12,24,3,0.002573,14200
hybrid_partial,12,24,3,0.001320,14200
hybrid_partial,12,24,3,0.000862,14200
hybrid_partial,12,24,3,0.000652,14200
sequential,13,1,0,0.018091,73712
openmp_partial,13,2,3,0.009592,73712
openmp_tasks,13,2,3,0.009350,73712
openmp_partial,13,4,3,0.005490,73712
openmp_tasks,13,4,3,0.005392,73712
openmp_partial,13,8,3,0.003139,73712
openmp_tasks,13,8,3,0.003145,73712
openmp_partial,13,12,3,0.002120,73712
openmp_tasks,13,12,3,0.002655,73712
openmp_partial,13,16,3,0.001803,73712
openmp_tasks,13,16,3,0.002509,73712
openmp_partial,13,24,3,0.011277,73712
openmp_tasks,13,24,3,0.009678,73712
mpi_partial,13,2,3,0.009339,73712
mpi_partial,13,4,3,0.005817,73712
mpi_partial,13,8,3,0.002906,73712
mpi_partial,13,12,3,0.002014,73712
mpi_partial,13,16,3,0.001532,73712
mpi_partial,13,24,3,0.002475,73712
hybrid_partial,13,24,3,0.009879,73712
hybrid_partial,13,24,3,0.004972,73712
hybrid_partial,13,24,3,0.003685,73712
hybrid_partial,13,24,3,0.002555,73712
sequential,14,1,0,0.107081,365596
openmp_partial,14,2,3,0.055601,365596
openmp_tasks,14,2,3,0.054018,365596
openmp_partial,14,4,3,0.028555,365596
openmp_tasks,14,4,3,0.028357,365596
openmp_partial,14,8,3,0.015064,365596
openmp_tasks,14,8,3,0.015195,365596
openmp_partial,14,12,3,0.010719,365596
openmp_tasks,14,12,3,0.011221,365596
openmp_partial,14,16,3,0.009121,365596
openmp_tasks,14,16,3,0.010378,365596
openmp_partial,14,24,3,0.011719,365596
openmp_tasks,14,24,3,0.011963,365596
mpi_partial,14,2,3,0.054858,365596
mpi_partial,14,4,3,0.028604,365596
mpi_partial,14,8,3,0.016916,365596
mpi_partial,14,12,3,0.011646,365596
mpi_partial,14,16,3,0.008700,365596
mpi_partial,14,24,3,0.008320,365596
hybrid_partial,14,24,3,0.056016,365596
hybrid_partial,14,24,3,0.028889,365596
hybrid_partial,14,24,3,0.019380,365596
hybrid_partial,14,24,3,0.014274,365596
sequential,15,1,0,0.679428,2279184
openmp_partial,15,2,3,0.348021,2279184
openmp_tasks,15,2,3,0.369068,2279184
openmp_partial,15,4,3,0.175928,2279184
openmp_tasks,15,4,3,0.179874,2279184
openmp_partial,15,8,3,0.089937,2279184
openmp_tasks,15,8,3,0.092288,2279184
openmp_partial,15,12,3,0.063582,2279184
openmp_tasks,15,12,3,0.064644,2279184
openmp_partial,15,16,3,0.049395,2279184
openmp_tasks,15,16,3,0.053538,2279184
openmp_partial,15,24,3,0.039390,2279184
openmp_tasks,15,24,3,0.042887,2279184
mpi_partial,15,2,3,0.346247,2279184
mpi_partial,15,4,3,0.178024,2279184
mpi_partial,15,8,3,0.099401,2279184
mpi_partial,15,12,3,0.070657,2279184
mpi_partial,15,16,3,0.053226,2279184
mpi_partial,15,24,3,0.040259,2279184
hybrid_partial,15,24,3,0.346787,2279184
hybrid_partial,15,24,3,0.179178,2279184
hybrid_partial,15,24,3,0.120312,2279184
hybrid_partial,15,24,3,0.100937,2279184
sequential,16,1,0,4.595294,14772512
openmp_partial,16,2,3,2.329871,14772512
openmp_tasks,16,2,3,2.324275,14772512
openmp_partial,16,4,3,1.177794,14772512
openmp_tasks,16,4,3,1.210645,14772512
openmp_partial,16,8,3,0.597310,14772512
openmp_tasks,16,8,3,0.616513,14772512
openmp_partial,16,12,3,0.419741,14772512
openmp_tasks,16,12,3,0.426516,14772512
openmp_partial,16,16,3,0.325176,14772512
openmp_tasks,16,16,3,0.340873,14772512
openmp_partial,16,24,3,0.255697,14772512
openmp_tasks,16,24,3,0.258877,14772512
mpi_partial,16,2,3,2.332473,14772512
mpi_partial,16,4,3,1.211024,14772512
mpi_partial,16,8,3,0.647845,14772512
mpi_partial,16,12,3,0.461038,14772512
mpi_partial,16,16,3,0.343120,14772512
mpi_partial,16,24,3,0.285459,14772512
hybrid_partial,16,24,3,2.350999,14772512
hybrid_partial,16,24,3,1.192197,14772512
hybrid_partial,16,24,3,0.801161,14772512
hybrid_partial,16,24,3,0.625818,14772512
sequential,17,1,0,32.546940,95815104
openmp_partial,17,2,3,16.530837,95815104
openmp_tasks,17,2,3,17.622566,95815104
openmp_partial,17,4,3,8.344472,95815104
openmp_tasks,17,4,3,8.348109,95815104
openmp_partial,17,8,3,4.213231,95815104
openmp_tasks,17,8,3,4.229852,95815104
openmp_partial,17,12,3,2.957149,95815104
openmp_tasks,17,12,3,3.022451,95815104
openmp_partial,17,16,3,2.283417,95815104
openmp_tasks,17,16,3,2.349848,95815104
openmp_partial,17,24,3,1.725776,95815104
openmp_tasks,17,24,3,1.786306,95815104
mpi_partial,17,2,3,16.488153,95815104
mpi_partial,17,4,3,8.410608,95815104
mpi_partial,17,8,3,4.224579,95815104
mpi_partial,17,12,3,3.051998,95815104
mpi_partial,17,16,3,2.384576,95815104
mpi_partial,17,24,3,1.937133,95815104
hybrid_partial,17,24,3,16.598289,95815104
hybrid_partial,17,24,3,8.410590,95815104
hybrid_partial,17,24,3,5.587187,95815104
hybrid_partial,17,24,3,4.315168,95815104
sequential,18,1,0,242.273954,666090624
openmp_partial,18,2,3,122.123012,666090624
openmp_tasks,18,2,3,123.489334,666090624
openmp_partial,18,4,3,61.420467,666090624
openmp_tasks,18,4,3,63.439369,666090624
openmp_partial,18,8,3,31.188034,666090624
openmp_tasks,18,8,3,32.115721,666090624
openmp_partial,18,12,3,21.915175,666090624
openmp_tasks,18,12,3,22.392449,666090624
openmp_partial,18,16,3,16.987148,666090624
openmp_tasks,18,16,3,17.322912,666090624
openmp_partial,18,24,3,12.826408,666090624
openmp_tasks,18,24,3,13.172031,666090624
mpi_partial,18,2,3,121.769233,666090624
mpi_partial,18,4,3,61.417313,666090624
mpi_partial,18,8,3,31.348081,666090624
mpi_partial,18,12,3,22.408403,666090624
mpi_partial,18,16,3,17.432756,666090624
mpi_partial,18,24,3,14.329030,666090624
hybrid_partial,18,24,3,123.175712,666090624
hybrid_partial,18,24,3,62.146238,666090624
hybrid_partial,18,24,3,41.901869,666090624
hybrid_partial,18,24,3,31.832292,666090624
