version,n,workers,depth,time,solutions
sequential,12,1,0,0.003316,14200
openmp_partial,12,2,3,0.002059,14200
openmp_tasks,12,2,3,0.001885,14200
openmp_partial,12,4,3,0.001131,14200
openmp_tasks,12,4,3,0.001143,14200
openmp_partial,12,8,3,0.000675,14200
openmp_tasks,12,8,3,0.001047,14200
openmp_partial,12,12,3,0.000663,14200
openmp_tasks,12,12,3,0.001004,14200
openmp_partial,12,16,3,0.000696,14200
openmp_tasks,12,16,3,0.001425,14200
openmp_partial,12,24,3,0.013161,14200
openmp_tasks,12,24,3,0.006032,14200
mpi_partial,12,2,3,0.001669,14200
mpi_partial,12,4,3,0.001045,14200
mpi_partial,12,8,3,0.000627,14200
mpi_partial,12,12,3,0.000397,14200
mpi_partial,12,16,3,0.000276,14200
mpi_partial,12,24,3,0.001218,14200
hybrid_partial,12,24,3,0.001989,14200
hybrid_partial,12,24,3,0.001226,14200
hybrid_partial,12,24,3,0.000872,14200
hybrid_partial,12,24,3,0.000639,14200
sequential,13,1,0,0.018077,73712
openmp_partial,13,2,3,0.009463,73712
openmp_tasks,13,2,3,0.009173,73712
openmp_partial,13,4,3,0.005551,73712
openmp_tasks,13,4,3,0.005446,73712
openmp_partial,13,8,3,0.003178,73712
openmp_tasks,13,8,3,0.003067,73712
openmp_partial,13,12,3,0.002270,73712
openmp_tasks,13,12,3,0.002667,73712
openmp_partial,13,16,3,0.001835,73712
openmp_tasks,13,16,3,0.002409,73712
openmp_partial,13,24,3,0.007743,73712
openmp_tasks,13,24,3,0.017533,73712
mpi_partial,13,2,3,0.009562,73712
mpi_partial,13,4,3,0.004952,73712
mpi_partial,13,8,3,0.002883,73712
mpi_partial,13,12,3,0.002017,73712
mpi_partial,13,16,3,0.001496,73712
mpi_partial,13,24,3,0.001637,73712
hybrid_partial,13,24,3,0.009674,73712
hybrid_partial,13,24,3,0.004971,73712
hybrid_partial,13,24,3,0.003442,73712
hybrid_partial,13,24,3,0.003003,73712
sequential,14,1,0,0.106812,365596
openmp_partial,14,2,3,0.055459,365596
openmp_tasks,14,2,3,0.054353,365596
openmp_partial,14,4,3,0.028237,365596
openmp_tasks,14,4,3,0.028401,365596
openmp_partial,14,8,3,0.015854,365596
openmp_tasks,14,8,3,0.015044,365596
openmp_partial,14,12,3,0.011143,365596
openmp_tasks,14,12,3,0.011357,365596
openmp_partial,14,16,3,0.008388,365596
openmp_tasks,14,16,3,0.009374,365596
openmp_partial,14,24,3,0.014735,365596
openmp_tasks,14,24,3,0.013058,365596
mpi_partial,14,2,3,0.055053,365596
mpi_partial,14,4,3,0.029102,365596
mpi_partial,14,8,3,0.015250,365596
mpi_partial,14,12,3,0.011464,365596
mpi_partial,14,16,3,0.008704,365596
mpi_partial,14,24,3,0.006006,365596
hybrid_partial,14,24,3,0.055451,365596
hybrid_partial,14,24,3,0.028901,365596
hybrid_partial,14,24,3,0.019358,365596
hybrid_partial,14,24,3,0.014767,365596
sequential,15,1,0,0.679569,2279184
openmp_partial,15,2,3,0.346631,2279184
openmp_tasks,15,2,3,0.345458,2279184
openmp_partial,15,4,3,0.175403,2279184
openmp_tasks,15,4,3,0.180036,2279184
openmp_partial,15,8,3,0.090904,2279184
openmp_tasks,15,8,3,0.090285,2279184
openmp_partial,15,12,3,0.063216,2279184
openmp_tasks,15,12,3,0.064662,2279184
openmp_partial,15,16,3,0.049129,2279184
openmp_tasks,15,16,3,0.052296,2279184
openmp_partial,15,24,3,0.042405,2279184
openmp_tasks,15,24,3,0.041474,2279184
mpi_partial,15,2,3,0.346712,2279184
mpi_partial,15,4,3,0.178236,2279184
mpi_partial,15,8,3,0.098212,2279184
mpi_partial,15,12,3,0.070597,2279184
mpi_partial,15,16,3,0.053266,2279184
mpi_partial,15,24,3,0.038997,2279184
hybrid_partial,15,24,3,0.347860,2279184
hybrid_partial,15,24,3,0.179602,2279184
hybrid_partial,15,24,3,0.118067,2279184
hybrid_partial,15,24,3,0.102817,2279184
sequential,16,1,0,4.610761,14772512
openmp_partial,16,2,3,2.341236,14772512
openmp_tasks,16,2,3,2.365793,14772512
openmp_partial,16,4,3,1.176013,14772512
openmp_tasks,16,4,3,1.213798,14772512
openmp_partial,16,8,3,0.598196,14772512
openmp_tasks,16,8,3,0.616100,14772512
openmp_partial,16,12,3,0.419601,14772512
openmp_tasks,16,12,3,0.433633,14772512
openmp_partial,16,16,3,0.324137,14772512
openmp_tasks,16,16,3,0.341468,14772512
openmp_partial,16,24,3,0.248722,14772512
openmp_tasks,16,24,3,0.255188,14772512
mpi_partial,16,2,3,2.338538,14772512
mpi_partial,16,4,3,1.205020,14772512
mpi_partial,16,8,3,0.613626,14772512
mpi_partial,16,12,3,0.451021,14772512
mpi_partial,16,16,3,0.348196,14772512
mpi_partial,16,24,3,0.267507,14772512
hybrid_partial,16,24,3,2.331877,14772512
hybrid_partial,16,24,3,1.186254,14772512
hybrid_partial,16,24,3,0.789749,14772512
hybrid_partial,16,24,3,0.629917,14772512
sequential,17,1,0,32.594137,95815104
openmp_partial,17,2,3,16.628675,95815104
openmp_tasks,17,2,3,16.529993,95815104
openmp_partial,17,4,3,8.340327,95815104
openmp_tasks,17,4,3,8.348222,95815104
openmp_partial,17,8,3,4.242595,95815104
openmp_tasks,17,8,3,4.248378,95815104
openmp_partial,17,12,3,2.956189,95815104
openmp_tasks,17,12,3,3.026090,95815104
openmp_partial,17,16,3,2.308018,95815104
openmp_tasks,17,16,3,2.574262,95815104
openmp_partial,17,24,3,1.980301,95815104
openmp_tasks,17,24,3,1.864901,95815104
mpi_partial,17,2,3,16.579198,95815104
mpi_partial,17,4,3,8.423657,95815104
mpi_partial,17,8,3,4.451064,95815104
mpi_partial,17,12,3,3.031694,95815104
mpi_partial,17,16,3,2.455311,95815104
