version,n,workers,depth,time,solutions
sequential,12,1,0,0.003320,14200
openmp_partial,12,2,3,0.001903,14200
openmp_tasks,12,2,3,0.002013,14200
openmp_partial,12,4,3,0.001099,14200
openmp_tasks,12,4,3,0.001179,14200
openmp_partial,12,8,3,0.000708,14200
openmp_tasks,12,8,3,0.000940,14200
openmp_partial,12,12,3,0.000879,14200
openmp_tasks,12,12,3,0.000981,14200
openmp_partial,12,16,3,0.001089,14200
openmp_tasks,12,16,3,0.002054,14200
openmp_partial,12,24,3,0.008235,14200
openmp_tasks,12,24,3,0.013590,14200
mpi_partial,12,2,3,0.001930,14200
mpi_partial,12,4,3,0.000970,14200
mpi_partial,12,8,3,0.000552,14200
mpi_partial,12,12,3,0.000369,14200
mpi_partial,12,16,3,0.000295,14200
mpi_partial,12,24,3,0.002414,14200
hybrid_partial,12,24,3,0.002021,14200
hybrid_partial,12,24,3,0.001048,14200
hybrid_partial,12,24,3,0.000835,14200
hybrid_partial,12,24,3,0.000641,14200
sequential,13,1,0,0.018226,73712
openmp_partial,13,2,3,0.009826,73712
openmp_tasks,13,2,3,0.009389,73712
openmp_partial,13,4,3,0.005285,73712
openmp_tasks,13,4,3,0.005324,73712
openmp_partial,13,8,3,0.003256,73712
openmp_tasks,13,8,3,0.003175,73712
openmp_partial,13,12,3,0.002655,73712
openmp_tasks,13,12,3,0.002540,73712
openmp_partial,13,16,3,0.001987,73712
openmp_tasks,13,16,3,0.002649,73712
openmp_partial,13,24,3,0.011392,73712
openmp_tasks,13,24,3,0.005906,73712
mpi_partial,13,2,3,0.009436,73712
mpi_partial,13,4,3,0.005024,73712
mpi_partial,13,8,3,0.002923,73712
mpi_partial,13,12,3,0.002036,73712
mpi_partial,13,16,3,0.001481,73712
mpi_partial,13,24,3,0.002130,73712
hybrid_partial,13,24,3,0.010396,73712
hybrid_partial,13,24,3,0.005435,73712
hybrid_partial,13,24,3,0.003440,73712
hybrid_partial,13,24,3,0.003171,73712
sequential,14,1,0,0.107668,365596
openmp_partial,14,2,3,0.055472,365596
openmp_tasks,14,2,3,0.054653,365596
openmp_partial,14,4,3,0.028757,365596
openmp_tasks,14,4,3,0.028550,365596
openmp_partial,14,8,3,0.015442,365596
