version,n,workers,depth,time,solutions
sequential,12,1,0,0.003304,14200
openmp_partial,12,2,3,0.001959,14200
openmp_tasks,12,2,3,0.001859,14200
openmp_partial,12,4,3,0.001126,14200
openmp_tasks,12,4,3,0.001207,14200
openmp_partial,12,8,3,0.000749,14200
openmp_tasks,12,8,3,0.000969,14200
openmp_partial,12,12,3,0.000771,14200
openmp_tasks,12,12,3,0.001169,14200
openmp_partial,12,16,3,0.000808,14200
openmp_tasks,12,16,3,0.001291,14200
openmp_partial,12,24,3,0.009378,14200
openmp_tasks,12,24,3,0.011635,14200
mpi_partial,12,2,3,0.001635,14200
mpi_partial,12,4,3,0.000862,14200
mpi_partial,12,8,3,0.000535,14200
mpi_partial,12,12,3,0.000378,14200
mpi_partial,12,16,3,0.000291,14200
mpi_partial,12,24,3,0.001996,14200
hybrid_partial,12,24,3,0.002476,14200
hybrid_partial,12,24,3,0.001056,14200
hybrid_partial,12,24,3,0.000834,14200
hybrid_partial,12,24,3,0.000617,14200
sequential,13,1,0,0.018197,73712
openmp_partial,13,2,3,0.009810,73712
openmp_tasks,13,2,3,0.009444,73712
openmp_partial,13,4,3,0.005151,73712
openmp_tasks,13,4,3,0.004858,73712
openmp_partial,13,8,3,0.002963,73712
openmp_tasks,13,8,3,0.003380,73712
openmp_partial,13,12,3,0.002199,73712
openmp_tasks,13,12,3,0.002623,73712
openmp_partial,13,16,3,0.002051,73712
openmp_tasks,13,16,3,0.002419,73712
openmp_partial,13,24,3,0.007608,73712
openmp_tasks,13,24,3,0.011307,73712
mpi_partial,13,2,3,0.010737,73712
mpi_partial,13,4,3,0.004920,73712
mpi_partial,13,8,3,0.002901,73712
mpi_partial,13,12,3,0.002069,73712
mpi_partial,13,16,3,0.001535,73712
mpi_partial,13,24,3,0.003168,73712
hybrid_partial,13,24,3,0.009619,73712
hybrid_partial,13,24,3,0.004946,73712
hybrid_partial,13,24,3,0.004130,73712
hybrid_partial,13,24,3,0.003105,73712
sequential,14,1,0,0.109243,365596
openmp_partial,14,2,3,0.056651,365596
openmp_tasks,14,2,3,0.054568,365596
openmp_partial,14,4,3,0.028121,365596
openmp_tasks,14,4,3,0.028157,365596
openmp_partial,14,8,3,0.014812,365596
openmp_tasks,14,8,3,0.016212,365596
openmp_partial,14,12,3,0.010842,365596
openmp_tasks,14,12,3,0.011476,365596
openmp_partial,14,16,3,0.008257,365596
openmp_tasks,14,16,3,0.009699,365596
openmp_partial,14,24,3,0.015837,365596
openmp_tasks,14,24,3,0.014006,365596
mpi_partial,14,2,3,0.055174,365596
mpi_partial,14,4,3,0.027753,365596
mpi_partial,14,8,3,0.017097,365596
mpi_partial,14,12,3,0.011622,365596
mpi_partial,14,16,3,0.008586,365596
mpi_partial,14,24,3,0.009381,365596
hybrid_partial,14,24,3,0.056286,365596
hybrid_partial,14,24,3,0.029276,365596
hybrid_partial,14,24,3,0.021300,365596
hybrid_partial,14,24,3,0.017176,365596
sequential,15,1,0,0.685836,2279184
openmp_partial,15,2,3,0.347586,2279184
openmp_tasks,15,2,3,0.369079,2279184
openmp_partial,15,4,3,0.176561,2279184
openmp_tasks,15,4,3,0.179573,2279184
openmp_partial,15,8,3,0.089772,2279184
openmp_tasks,15,8,3,0.090137,2279184
openmp_partial,15,12,3,0.063263,2279184
openmp_tasks,15,12,3,0.064943,2279184
openmp_partial,15,16,3,0.049222,2279184
openmp_tasks,15,16,3,0.053156,2279184
openmp_partial,15,24,3,0.047128,2279184
openmp_tasks,15,24,3,0.042568,2279184
mpi_partial,15,2,3,0.346345,2279184
mpi_partial,15,4,3,0.175371,2279184
mpi_partial,15,8,3,0.092944,2279184
mpi_partial,15,12,3,0.070694,2279184
mpi_partial,15,16,3,0.053104,2279184
mpi_partial,15,24,3,0.044580,2279184
hybrid_partial,15,24,3,0.347858,2279184
hybrid_partial,15,24,3,0.177713,2279184
hybrid_partial,15,24,3,0.119938,2279184
hybrid_partial,15,24,3,0.105383,2279184
sequential,16,1,0,4.606295,14772512
openmp_partial,16,2,3,2.347406,14772512
openmp_tasks,16,2,3,2.327638,14772512
openmp_partial,16,4,3,1.172830,14772512
openmp_tasks,16,4,3,1.210227,14772512
openmp_partial,16,8,3,0.592605,14772512
openmp_tasks,16,8,3,0.612421,14772512
openmp_partial,16,12,3,0.419007,14772512
openmp_tasks,16,12,3,0.428833,14772512
openmp_partial,16,16,3,0.324475,14772512
openmp_tasks,16,16,3,0.343107,14772512
openmp_partial,16,24,3,0.249494,14772512
openmp_tasks,16,24,3,0.263636,14772512
mpi_partial,16,2,3,2.331602,14772512
mpi_partial,16,4,3,1.182653,14772512
mpi_partial,16,8,3,0.613021,14772512
mpi_partial,16,12,3,0.456810,14772512
mpi_partial,16,16,3,0.344909,14772512
mpi_partial,16,24,3,0.274061,14772512
hybrid_partial,16,24,3,2.323062,14772512
hybrid_partial,16,24,3,1.176069,14772512
hybrid_partial,16,24,3,0.791493,14772512
hybrid_partial,16,24,3,0.607088,14772512
sequential,17,1,0,32.594095,95815104
openmp_partial,17,2,3,16.586750,95815104
openmp_tasks,17,2,3,17.578722,95815104
openmp_partial,17,4,3,8.324876,95815104
openmp_tasks,17,4,3,8.345856,95815104
openmp_partial,17,8,3,4.208117,95815104
openmp_tasks,17,8,3,4.254885,95815104
openmp_partial,17,12,3,3.027977,95815104
openmp_tasks,17,12,3,3.100293,95815104
openmp_partial,17,16,3,2.306343,95815104
openmp_tasks,17,16,3,2.370338,95815104
openmp_partial,17,24,3,1.761259,95815104
openmp_tasks,17,24,3,1.831026,95815104
mpi_partial,17,2,3,16.568737,95815104
mpi_partial,17,4,3,8.365619,95815104
mpi_partial,17,8,3,4.253911,95815104
mpi_partial,17,12,3,3.044964,95815104
mpi_partial,17,16,3,2.403555,95815104
mpi_partial,17,24,3,1.790512,95815104
hybrid_partial,17,24,3,16.583544,95815104
hybrid_partial,17,24,3,8.405220,95815104
hybrid_partial,17,24,3,5.561731,95815104
hybrid_partial,17,24,3,4.384939,95815104
