version,n,workers,depth,time,solutions
sequential,12,1,0,0.003331,14200
openmp_partial,12,2,3,0.001941,14200
openmp_tasks,12,2,3,0.001813,14200
openmp_partial,12,4,3,0.001054,14200
openmp_tasks,12,4,3,0.001196,14200
openmp_partial,12,8,3,0.000716,14200
openmp_tasks,12,8,3,0.001108,14200
openmp_partial,12,12,3,0.000676,14200
openmp_tasks,12,12,3,0.001061,14200
openmp_partial,12,16,3,0.000738,14200
openmp_tasks,12,16,3,0.001286,14200
openmp_partial,12,24,3,0.008180,14200
openmp_tasks,12,24,3,0.009304,14200
mpi_partial,12,2,3,0.001653,14200
mpi_partial,12,4,3,0.001087,14200
mpi_partial,12,8,3,0.000565,14200
mpi_partial,12,12,3,0.000368,14200
mpi_partial,12,16,3,0.000278,14200
mpi_partial,12,24,3,0.003359,14200
hybrid_partial,12,24,3,0.002499,14200
hybrid_partial,12,24,3,0.001086,14200
hybrid_partial,12,24,3,0.000850,14200
hybrid_partial,12,24,3,0.000648,14200
sequential,13,1,0,0.018002,73712
openmp_partial,13,2,3,0.009577,73712
openmp_tasks,13,2,3,0.009590,73712
openmp_partial,13,4,3,0.005445,73712
openmp_tasks,13,4,3,0.005248,73712
openmp_partial,13,8,3,0.002984,73712
openmp_tasks,13,8,3,0.003283,73712
openmp_partial,13,12,3,0.002092,73712
openmp_tasks,13,12,3,0.002591,73712
openmp_partial,13,16,3,0.002073,73712
openmp_tasks,13,16,3,0.002345,73712
openmp_partial,13,24,3,0.008857,73712
openmp_tasks,13,24,3,0.006076,73712
mpi_partial,13,2,3,0.009297,73712
mpi_partial,13,4,3,0.004905,73712
mpi_partial,13,8,3,0.002530,73712
mpi_partial,13,12,3,0.001967,73712
mpi_partial,13,16,3,0.001513,73712
mpi_partial,13,24,3,0.001916,73712
hybrid_partial,13,24,3,0.009831,73712
hybrid_partial,13,24,3,0.005054,73712
hybrid_partial,13,24,3,0.003362,73712
hybrid_partial,13,24,3,0.003023,73712
sequential,14,1,0,0.108362,365596
openmp_partial,14,2,3,0.055649,365596
openmp_tasks,14,2,3,0.054955,365596
openmp_partial,14,4,3,0.028850,365596
openmp_tasks,14,4,3,0.027872,365596
openmp_partial,14,8,3,0.015692,365596
openmp_tasks,14,8,3,0.015582,365596
openmp_partial,14,12,3,0.010303,365596
openmp_tasks,14,12,3,0.012467,365596
openmp_partial,14,16,3,0.008706,365596
openmp_tasks,14,16,3,0.009395,365596
openmp_partial,14,24,3,0.015204,365596
openmp_tasks,14,24,3,0.011850,365596
mpi_partial,14,2,3,0.054954,365596
mpi_partial,14,4,3,0.027966,365596
mpi_partial,14,8,3,0.017081,365596
mpi_partial,14,12,3,0.011477,365596
mpi_partial,14,16,3,0.008712,365596
mpi_partial,14,24,3,0.006486,365596
hybrid_partial,14,24,3,0.055667,365596
hybrid_partial,14,24,3,0.028499,365596
hybrid_partial,14,24,3,0.019367,365596
hybrid_partial,14,24,3,0.017125,365596
sequential,15,1,0,0.680956,2279184
openmp_partial,15,2,3,0.347071,2279184
openmp_tasks,15,2,3,0.346510,2279184
openmp_partial,15,4,3,0.176139,2279184
openmp_tasks,15,4,3,0.179307,2279184
openmp_partial,15,8,3,0.090181,2279184
openmp_tasks,15,8,3,0.091842,2279184
openmp_partial,15,12,3,0.063716,2279184
openmp_tasks,15,12,3,0.065109,2279184
openmp_partial,15,16,3,0.048892,2279184
openmp_tasks,15,16,3,0.052857,2279184
openmp_partial,15,24,3,0.040306,2279184
openmp_tasks,15,24,3,0.042144,2279184
mpi_partial,15,2,3,0.346727,2279184
mpi_partial,15,4,3,0.179003,2279184
mpi_partial,15,8,3,0.090067,2279184
mpi_partial,15,12,3,0.070719,2279184
mpi_partial,15,16,3,0.052977,2279184
mpi_partial,15,24,3,0.040802,2279184
hybrid_partial,15,24,3,0.349369,2279184
hybrid_partial,15,24,3,0.173773,2279184
hybrid_partial,15,24,3,0.118603,2279184
hybrid_partial,15,24,3,0.091249,2279184
sequential,16,1,0,4.591079,14772512
openmp_partial,16,2,3,2.331995,14772512
openmp_tasks,16,2,3,2.325707,14772512
openmp_partial,16,4,3,1.172592,14772512
openmp_tasks,16,4,3,1.219621,14772512
openmp_partial,16,8,3,0.594737,14772512
openmp_tasks,16,8,3,0.610246,14772512
openmp_partial,16,12,3,0.420707,14772512
openmp_tasks,16,12,3,0.433401,14772512
openmp_partial,16,16,3,0.325582,14772512
openmp_tasks,16,16,3,0.352968,14772512
openmp_partial,16,24,3,0.268443,14772512
openmp_tasks,16,24,3,0.259198,14772512
mpi_partial,16,2,3,2.345679,14772512
mpi_partial,16,4,3,1.188516,14772512
mpi_partial,16,8,3,0.612512,14772512
mpi_partial,16,12,3,0.443560,14772512
mpi_partial,16,16,3,0.343877,14772512
mpi_partial,16,24,3,0.264084,14772512
hybrid_partial,16,24,3,2.342041,14772512
hybrid_partial,16,24,3,1.179865,14772512
hybrid_partial,16,24,3,0.796269,14772512
hybrid_partial,16,24,3,0.636868,14772512
sequential,17,1,0,32.644638,95815104
openmp_partial,17,2,3,16.660679,95815104
openmp_tasks,17,2,3,16.595966,95815104
openmp_partial,17,4,3,8.342930,95815104
openmp_tasks,17,4,3,8.344495,95815104
openmp_partial,17,8,3,4.310589,95815104
openmp_tasks,17,8,3,4.242864,95815104
openmp_partial,17,12,3,2.972909,95815104
openmp_tasks,17,12,3,3.027508,95815104
openmp_partial,17,16,3,2.295727,95815104
openmp_tasks,17,16,3,2.372100,95815104
openmp_partial,17,24,3,1.787306,95815104
openmp_tasks,17,24,3,1.867087,95815104
mpi_partial,17,2,3,16.531791,95815104
mpi_partial,17,4,3,8.347861,95815104
mpi_partial,17,8,3,4.271043,95815104
mpi_partial,17,12,3,3.200759,95815104
mpi_partial,17,16,3,2.377520,95815104
mpi_partial,17,24,3,2.073638,95815104
hybrid_partial,17,24,3,16.694787,95815104
hybrid_partial,17,24,3,8.397761,95815104
hybrid_partial,17,24,3,5.583140,95815104
hybrid_partial,17,24,3,4.259227,95815104
